feature,row,column
age,3,0
Tense - relaxed,3,2
Authoritative -anarchic ,3,5
Hostile - friendly,1,7
sex_F,6,6
sex_M,7,2
country_argentina,2,0
country_brasil,1,4
country_canada,1,5
country_chile,4,5
country_colombia,5,5
country_cuba,7,4
country_england,5,6
country_germany,0,5
country_hungary,5,3
country_italy,2,6
country_polish,4,2
country_russia,0,3
country_scotland,6,3
country_spain,2,1
country_uruguay,6,2
returning_no,0,6
returning_yes,0,0
GImg1_dislikes,6,5
GImg1_indiferent,0,1
GImg1_likes,2,5
GImg2_dislikes,6,0
GImg2_indiferent,0,2
GImg2_likes,1,3
GImg3_dislikes,0,7
GImg3_indiferent,4,1
GImg3_likes,4,4
PImg1_indiferent,5,4
PImg1_likes,4,0
PImg3_dislikes,5,0
PImg3_indiferent,2,3
PImg3_likes,7,0
PImg4_dislikes,2,2
PImg4_indiferent,3,1
PImg4_likes,4,7
PImg5_dislikes,2,7
PImg5_indiferent,7,1
TAudio1_A,3,3
TAudio1_B,2,4
TAudio1_C,1,2
TAudio1_D,5,1
TAudio2_dislikes,3,7
TAudio2_indiferent,6,1
TAudio3_dislikes,3,6
TAudio3_indiferent,6,4
TAudio3_likes,1,6
QAudio1_dislikes,0,4
QAudio1_indiferent,1,1
QAudio1_likes,7,3
QAudio2_dislikes,3,4
QAudio2_indiferent,5,2
QAudio2_likes,4,6
QAudio3_dislikes,4,3
QAudio3_indiferent,6,7
QAudio3_likes,5,7
Proxemics_dislikes,1,0
Proxemics_indiferent,7,5
