feature,row,column
age,3,3
Tense - relaxed,3,1
Authoritative -anarchic ,6,4
Hostile - friendly,3,4
sex_F,5,2
sex_M,4,3
country_argentina,6,2
country_canada,5,5
country_chile,3,3
country_cuba,0,6
country_england,3,2
country_germany,0,6
country_hungary,1,3
country_italy,4,1
country_mexico,1,4
country_polish,4,2
country_russia,3,3
country_scotland,2,4
country_spain,3,3
country_uruguay,3,1
returning_no,2,2
returning_yes,5,1
GImg1_dislikes,5,5
GImg1_indiferent,1,5
GImg1_likes,2,4
GImg2_dislikes,3,3
GImg2_indiferent,2,3
GImg2_likes,4,4
GImg3_dislikes,7,2
GImg3_indiferent,3,0
GImg3_likes,3,3
PImg1_indiferent,3,7
PImg1_likes,7,4
PImg3_dislikes,4,2
PImg3_indiferent,2,3
PImg3_likes,3,3
PImg4_dislikes,2,2
PImg4_indiferent,1,1
PImg4_likes,5,1
PImg5_dislikes,5,5
PImg5_indiferent,2,4
TAudio1_A,3,5
TAudio1_B,3,3
TAudio1_C,2,2
TAudio1_D,3,3
TAudio2_dislikes,4,4
TAudio2_indiferent,1,2
TAudio3_dislikes,4,5
TAudio3_indiferent,1,3
TAudio3_likes,0,0
QAudio1_dislikes,3,4
QAudio1_indiferent,0,0
QAudio1_likes,3,3
QAudio2_dislikes,5,1
QAudio2_indiferent,6,4
QAudio3_dislikes,4,3
QAudio3_indiferent,5,4
QAudio3_likes,3,2
Proxemics_dislikes,6,2
Proxemics_indiferent,3,5
