feature,row,column
age,0,7
Tense - relaxed,6,6
Authoritative -anarchic ,5,6
Hostile - friendly,4,2
sex_F,2,2
sex_M,6,3
country_argentina,1,5
country_canada,1,3
country_chile,4,6
country_cuba,0,6
country_england,0,2
country_germany,1,4
country_hungary,6,7
country_italy,5,7
country_mexico,5,3
country_polish,4,4
country_russia,3,6
country_scotland,5,2
country_spain,0,4
country_uruguay,3,2
returning_no,4,7
returning_yes,2,4
GImg1_dislikes,2,7
GImg1_indiferent,4,1
GImg1_likes,3,3
GImg2_dislikes,4,0
GImg2_indiferent,1,0
GImg2_likes,2,3
GImg3_dislikes,1,6
GImg3_indiferent,7,2
GImg3_likes,0,1
PImg1_indiferent,3,4
PImg1_likes,3,0
PImg3_dislikes,6,4
PImg3_indiferent,1,7
PImg3_likes,6,1
PImg4_dislikes,3,5
PImg4_indiferent,0,3
PImg4_likes,3,7
PImg5_dislikes,3,1
PImg5_indiferent,2,5
TAudio1_A,0,0
TAudio1_B,2,1
TAudio1_C,0,5
TAudio1_D,1,1
TAudio2_dislikes,4,5
TAudio2_indiferent,6,2
TAudio3_dislikes,2,6
TAudio3_indiferent,4,3
TAudio3_likes,7,1
QAudio1_dislikes,5,0
QAudio1_indiferent,7,0
QAudio1_likes,5,5
QAudio2_dislikes,6,5
QAudio2_indiferent,2,0
QAudio3_dislikes,5,4
QAudio3_indiferent,5,1
QAudio3_likes,6,0
Proxemics_dislikes,1,2
Proxemics_indiferent,7,3
